chest,times,heroes,weight,join_heroes,special_weight,special_heroes,price,rarity,T1,T2,T3,T4,T5
dragon_chest_3,4,"12;17;hero_405,hero_008,hero_109","1000,1000,1000","12;17;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|2;3;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|2;3;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,30,5,45~68,7~10,7~10,0~0,0~0
dragon_chest_4,4,"15;22;hero_405,hero_008,hero_109,hero_211|4;5;hero_111","1000,1000,1000,1000,1000","15;22;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|4;5;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|2;3;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,35,5,58~87,13~20,7~10,0~0,0~0
dragon_chest_5,5,"21;32;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105|6;9;hero_111","1000,1000,1000,1000,1000,1000,1000","21;32;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|6;9;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|2;3;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,40,5,104~156,28~42,8~12,0~0,0~0
dragon_chest_6,5,"29;44;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105|8;12;hero_111,hero_011,hero_010","1000,1000,1000,1000,1000,1000,1000,1000,1000","29;44;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|8;12;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|4;6;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,45,5,144~216,40~60,20~30,0~0,0~0
dragon_chest_7,5,"39;58;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202|10;15;hero_111,hero_011,hero_010,hero_104","1000,1000,1000,1000,1000,1000,1000,1000,1000,1000","39;58;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|10;15;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|6;9;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,50,5,192~288,48~72,28~42,0~0,0~0
dragon_chest_8,5,"44;66;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202,hero_004,hero_012|14;21;hero_111,hero_011,hero_010,hero_104,hero_005","1000,1000,1000,1000,1000,1000,1000,1000,1000,1000","44;66;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|14;21;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|10;15;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,55,5,220~330,68~102,48~72,0~0,0~0
dragon_chest_9,6,"64;96;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202,hero_004,hero_012,hero_208|20;29;hero_111,hero_011,hero_010,hero_104,hero_005,hero_307|11;16;hero_006","1000,1000,1000,1000,1000,1000,1000,1000,1000,1000","64;96;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|20;29;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|11;16;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,60,5,384~576,116~173,63~94,0~0,0~0
dragon_chest_10,6,"73;110;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202,hero_004,hero_012,hero_208,hero_003|30;45;hero_111,hero_011,hero_010,hero_104,hero_005,hero_307,hero_302,hero_001|13;20;hero_006","1000,1000,1000,1000,1000,1000,1000,1000,1000,1000","73;110;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|30;45;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|13;20;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,65,5,437~656,178~267,77~116,0~0,0~0
dragon_chest_11,6,"86;129;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202,hero_004,hero_012,hero_208,hero_003,hero_209,hero_102|32;48;hero_111,hero_011,hero_010,hero_104,hero_005,hero_307,hero_302,hero_001,hero_401|17;26;hero_006","1000,1000,1000,1000,1000,1000,1000,1000,1000,1000","86;129;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|32;48;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|17;26;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,70,5,514~771,192~288,101~152,0~0,0~0
dragon_chest_12,6,"103;154;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202,hero_004,hero_012,hero_208,hero_003,hero_209,hero_102,hero_301,hero_406|36;54;hero_111,hero_011,hero_010,hero_104,hero_005,hero_307,hero_302,hero_001,hero_401,hero_402|20;29;hero_006,hero_304","1000,1000,1000,1000,1000,1000,1000,1000,1000,1000","103;154;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|36;54;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|20;29;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,80,5,615~922,216~324,116~173,0~0,0~0
dragon_chest_13,6,"128;192;hero_405,hero_008,hero_109,hero_211,hero_110,hero_105,hero_202,hero_004,hero_012,hero_208,hero_003,hero_209,hero_102,hero_301,hero_406|45;68;hero_111,hero_011,hero_010,hero_104,hero_005,hero_307,hero_302,hero_001,hero_401,hero_402|24;35;hero_006,hero_304","1000,1000,1000,1000,1000,1000,1000,1000,1000,1000","128;192;hero_108,hero_009,hero_206,hero_303,hero_212,hero_103|45;68;hero_106,hero_201,hero_203,hero_207,hero_306,hero_205,hero_403,hero_112|24;35;hero_107,hero_101,hero_204,hero_007,hero_210,hero_305,hero_002,hero_404,hero_407",500,,100,5,768~1152,269~404,140~209,0~0,0~0
